Age	Weight	Location
3	0.76	1
4	1.38	1
5	1.2	1
5	1.76	1
6	2.6	1
6	2.16	1
6	2.64	1
6	2.52	1
6	3.08	1
6	2.12	1
7	2.72	1
7	2.96	1
8	4.54	1
8	5.26	1
8	5.6	1
8	2.52	1
8	3.9	1
10	3.94	1
10	6.22	1
10	4.96	1
13	9.02	1
13	8.2	1
13	8.26	1
14	6.4	1
15	10.06	1
15	8.6	1
18	11.06	1
19	10.78	1
22	12.04	1
24	13.92	1
3	0.44	0
3	0.5	0
3	0.66	0
3	0.78	0
4	1.2	0
4	1.18	0
4	1.08	0
6	1.12	0
6	1.72	0
7	1.04	0
8	2.62	0
9	1.88	0
10	2.26	0
11	4.1	0
11	2.12	0
11	3.96	0
11	3.84	0
12	5.58	0
12	5.64	0
12	4.26	0
13	6	0
13	2.54	0
13	3.82	0
14	4.5	0
14	5.18	0
14	4.04	0
15	6.38	0
15	4.08	0
16	4.56	0
