length	diameter	height	weight.w	weight.s	weight.v	rings
0.455	0.365	0.095	0.5140	0.2245	0.1010	15
0.350	0.265	0.090	0.2255	0.0995	0.0485	7
0.440	0.365	0.125	0.5160	0.2155	0.1140	10
0.475	0.370	0.125	0.5095	0.2165	0.1125	9
0.430	0.350	0.110	0.4060	0.1675	0.0810	10
0.490	0.380	0.135	0.5415	0.2175	0.0950	11
0.500	0.400	0.130	0.6645	0.2580	0.1330	12
0.365	0.295	0.080	0.2555	0.0970	0.0430	7
0.450	0.320	0.100	0.3810	0.1705	0.0750	9
0.355	0.280	0.095	0.2455	0.0955	0.0620	11
0.590	0.445	0.140	0.9310	0.3560	0.2340	12
0.605	0.475	0.180	0.9365	0.3940	0.2190	15
0.575	0.425	0.140	0.8635	0.3930	0.2270	11
0.580	0.470	0.165	0.9975	0.3935	0.2420	10
0.665	0.525	0.165	1.3380	0.5515	0.3575	18
